title,address,phone,time,website,email
Master Chef Restaurant,,,,,
,"937 N Hill St, Los Angeles, CA 90012",,,,
,,(213) 687-3638,,,
,,,Today: 11:30 am - 11:30 pm,,
,,,,http://www.masterchefhillst.com,
,,,,,waylandt2001@yahoo.com
title,address,phone,time,website,email
New Dragon Sea Food Restaurant,,,,,
,"934 N Hill St, Los Angeles, CA 90012",,,,
,,(213) 626-6050,,,
,,,Today: 10:00 am - 10:00 pm,,
,,,,,
,,,,,newdrgn12@gmail.com
title,address,phone,time,website,email
Noodle World Jr,,,,,
,"6118 W Sunset Blvd, Los Angeles, CA 90028",,,,
,,(323) 960-0999,,,
,,,Today: 11:00 am - 9:00 pm,,
,,,,http://noodleworld.com,
,,,,,
title,address,phone,time,website,email
China Town Express 80,,,,,
,"5445 Hollywood Blvd, Los Angeles, CA 90027",,,,
,,(323) 461-1207,,,
,,,Today: 11:00 am - 10:00 pm,,
,,,,,
,,,,,
title,address,phone,time,website,email
Via Cafe,,,,,
,"451 Gin Ling Way, Los Angeles, CA 90012",,,,
,,(213) 617-1481,,,
,,,Today: 11:00 am - 10:00 pm,,
,,,,,
,,,,,
title,address,phone,time,website,email
Tim's Kitchen,,,,,
,"3125 W Jefferson Blvd, Los Angeles, CA 90018",,,,
,,(323) 731-0769,,,
,,,Today: 11:30 pm - 8:00 pm,,
,,,,http://timskitchen.com,
,,,,,
title,address,phone,time,website,email
China Wok,,,,,
,"1527 Crenshaw Blvd, Los Angeles, CA 90019",,,,
,,(323) 954-8486,,,
,,,Today: 11:00 am - 10:00 pm,,
,,,,http://www.chinawokla.com,
,,,,,
title,address,phone,time,website,email
Chi Dynasty,,,,,
,"1813 Hillhurst Ave, Los Angeles, CA 90027",,,,
,,(323) 656-4800,,,
,,,Today: 11:30 am - 10:00 pm,,
,,,,http://chidynasty.com,
,,,,,info@chidynasty.com
title,address,phone,time,website,email
Ocha Classic,,,,,
,"835 S Vermont Ave, Los Angeles, CA 90005",,,,
,,(213) 383-4249,,,
,,,Today: 9:00 am - 10:00 pm,,
,,,,,
,,,,,
title,address,phone,time,website,email
China Express,,,,,
,"3592 E 1st St, Los Angeles, CA 90063",,,,
,,(323) 264-4986,,,
,,,Today: 12:00 pm - 9:00 pm,,
,,,,,
,,,,,
title,address,phone,time,website,email
Master Chef Restaurant,,,,,
,"937 N Hill St, Los Angeles, CA 90012",,,,
,,(213) 687-3638,,,
,,,Today: 11:30 am - 11:30 pm,,
,,,,http://www.masterchefhillst.com,
